epoch,goal_achieved
805,"[True, True, True, False, True]"
806,"[True, True, True, True, True]"
807,"[True, True, True, True, False]"
808,"[True, True, False, True, False]"
809,"[False, True, True, True, True]"
810,"[True, True, True, True, True]"
811,"[True, True, True, True, False]"
812,"[True, True, True, True, True]"
813,"[True, True, False, True, True]"
814,"[True, True, True, True, False]"
815,"[True, True, True, True, False]"
816,"[False, True, True, True, True]"
817,"[True, False, True, True, True]"
818,"[True, True, True, True, False]"
819,"[True, True, True, True, False]"
820,"[True, True, True, True, True]"
821,"[True, True, True, True, True]"
822,"[True, True, True, True, True]"
823,"[False, True, False, False, True]"
824,"[True, True, False, True, True]"
825,"[True, True, True, False, True]"
826,"[True, False, True, True, True]"
827,"[True, True, True, True, True]"
828,"[True, True, True, True, True]"
829,"[False, False, True, True, True]"
830,"[True, True, True, False, True]"
831,"[True, True, True, True, False]"
832,"[False, True, True, True, True]"
833,"[False, True, True, False, True]"
834,"[True, False, False, True, True]"
835,"[False, True, True, True, True]"
836,"[True, False, True, False, True]"
837,"[True, True, True, True, True]"
838,"[True, False, True, False, True]"
839,"[True, True, False, True, True]"
840,"[True, True, False, False, True]"
841,"[True, True, True, False, False]"
842,"[False, True, True, True, True]"
843,"[True, True, True, True, False]"
844,"[True, True, True, True, True]"
845,"[True, True, True, False, True]"
846,"[True, True, False, True, True]"
847,"[True, True, True, True, True]"
848,"[True, True, True, True, False]"
849,"[True, True, True, True, True]"
850,"[True, False, True, True, True]"
851,"[True, False, True, False, False]"
852,"[True, False, True, True, True]"
853,"[True, False, True, True, True]"
854,"[True, True, True, False, True]"
855,"[True, True, True, True, True]"
856,"[True, False, True, False, True]"
857,"[True, True, True, True, True]"
858,"[False, True, False, True, False]"
859,"[True, True, True, True, True]"
860,"[False, True, False, False, True]"
861,"[False, True, True, True, False]"
862,"[False, True, False, True, True]"
863,"[False, False, False, True, True]"
864,"[False, True, True, False, False]"
865,"[False, False, True, True, True]"
866,"[True, False, True, True, True]"
867,"[False, False, True, False, False]"
868,"[False, True, True, True, True]"
869,"[False, True, False, False, True]"
